半   十,"半   十     half   ハン、なか-ば han, naka-ba    Strokes: 5"
番   田,番   田     one's turn   バン ban    Strokes: 12
父   父,"父   父     father   フ、ちち fu, chichi    Strokes: 4"
風   風,"風   風     wind   フウ、（フ）、かぜ、（かざ） fū, (fu), kaze, (kaza)    Strokes: 9"
分   刀,"分   刀     part, minute of time   ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ bun, fun, bu, wa-keru, wa-kareru, wa-karu, wa-katsu    Strokes: 4"
聞   耳,"聞   耳     hear   ブン、モン、き-く、き-こえる bun, mon, ki-ku, ki-koeru    Strokes: 14"
米   米,"米   米     rice   ベイ、マイ、こめ bei, mai, kome    Strokes: 6"
歩   止,"歩   止     walk   ホ、ブ、（フ）、ある-く、あゆ-む ho, bu, (fu), aru-ku, ayu-mu    Strokes: 8"
母   毋,"母   毋     mother   ボ、はは bo, haha    Strokes: 5"
方   方,"方   方     direction   ホウ、かた hō, kata    Strokes: 4"
北   匕,"北   匕     north   ホク、きた hoku, kita    Strokes: 5"
毎   毋,毎   毋     every   マイ mai    Strokes: 6
妹   女,"妹   女     younger sister   マイ、いもうと mai, imōto    Strokes: 8"
万   艸,"万   艸     ten thousand   マン、バン man, ban    Strokes: 3"
明   日,"明   日     bright   メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす mei, myō, a-kari, aka-rui, aka-rumu, aka-ramu, aki-raka, a-keru, a-ku, a-kuru, a-kasu    Strokes: 8"
鳴   鳥,"鳴   鳥     chirp   メイ、な-く、な-る、な-らす mei, na-ku, na-ru, na-rasu    Strokes: 14"
毛   毛,"毛   毛     hair   モウ、け mō, ke    Strokes: 4"
門   門,"門   門     gates   モン、かど mon, kado    Strokes: 8"
夜   夕,"夜   夕     night   ヤ、よ、よる ya, yo, yoru    Strokes: 8"
野   里,"野   里     field   ヤ、の ya, no    Strokes: 11"
友   又,"友   又     friend   ユウ、とも yū, tomo    Strokes: 4"
用   用,"用   用     use   ヨウ、もち-いる yō, mochi-iru    Strokes: 5"
曜   日,曜   日     day of the week   ヨウ yō    Strokes: 18
来   人,"来   人     come   ライ、く-る、きた-る、きた-す rai, ku-ru, kita-ru, kita-su    Strokes: 7"
里   里,"里   里     village   リ、さと ri, sato    Strokes: 7"
理   玉,理   玉     reason   リ ri    Strokes: 11
話   言,"話   言     talk   ワ、はな-す、はなし wa, hana-su, hanashi    Strokes: 13"
悪   心,"悪   心     bad   アク、オ、わる-い aku, o, waru-i    Strokes: 11"
安   宀,"安   宀     cheap   アン、やす-い an, yasu-i    Strokes: 6"
暗   日,"暗   日     dark   アン、くら-い an, kura-i    Strokes: 13"
医   酉,医   酉     medicine   イ i    Strokes: 7
委   女,"委   女     committee   イ、ゆだ-ねる i, yuda-neru    Strokes: 8"
意   心,意   心     idea   イ i    Strokes: 13
育   肉,"育   肉     nurture   イク、そだ-つ、そだ-てる、はぐく-む iku, soda-tsu, soda-teru, haguku-mu    Strokes: 8"
員   口,員   口     member   イン in    Strokes: 10
院   阜,院   阜     institution   イン in    Strokes: 10
飲   食,"飲   食     drink   イン、の-む in, no-mu    Strokes: 12"
運   辵,"運   辵     carry   ウン、はこ-ぶ un, hako-bu    Strokes: 12"
泳   水,"泳   水     swim   エイ、およ-ぐ ei, oyo-gu    Strokes: 8"
駅   馬,駅   馬     station   エキ eki    Strokes: 14
央   大,央   大     center   オウ ō    Strokes: 5
横   木,"横   木     side   オウ、よこ ō, yoko    Strokes: 15"
屋   尸,"屋   尸     roof   オク、や oku, ya    Strokes: 9"
温   水,"温   水     warm   オン、あたた-か、あたた-かい、あたた-まる、あたた-める on, atata-ka, atata-kai, atata-maru, atata-meru    Strokes: 12"
化   匕,"化   匕     change   カ、ケ、ば-ける、ば-かす ka, ke, ba-keru, ba-kasu    Strokes: 4"
荷   艸,"荷   艸     luggage   カ、に ka, ni    Strokes: 10"
界   田,界   田     world   カイ kai    Strokes: 9
開   門,"開   門     open   カイ、ひら-く、ひら-ける、あ-く、あ-ける kai, hira-ku, hira-keru, a-ku, a-keru    Strokes: 12"
階   阜,階   阜     floor of a building   カイ kai    Strokes: 12
寒   宀,"寒   宀     cold   カン、さむ-い kan, samu-i    Strokes: 12"
感   心,感   心     feeling   カン kan    Strokes: 13
漢   水,漢   水     China   カン kan    Strokes: 13
館   食,"館   食     public building   カン、やかた kan, yakata    Strokes: 16"
岸   山,"岸   山     beach   ガン、きし gan, kishi    Strokes: 8"
起   走,"起   走     wake up   キ、お-きる、お-こる、お-こす ki, o-kiru, o-koru, o-kosu    Strokes: 10"
期   月,"期   月     period of time   キ、（ゴ） ki, (go)    Strokes: 12"
客   宀,"客   宀     guest   キャク、カク kyaku, kaku    Strokes: 9"
究   穴,"究   穴     research   キュウ、きわ-める kyū, kiwa-meru    Strokes: 7"
急   心,"急   心     hurry   キュウ、いそ-ぐ kyū, iso-gu    Strokes: 9"
級   糸,級   糸     rank   キュウ kyū    Strokes: 9
宮   宀,"宮   宀     Shinto shrine   キュウ、グウ、（ク）、みや kyū, gū, (ku), miya    Strokes: 10"
球   玉,"球   玉     sphere   キュウ、たま kyū, tama    Strokes: 11"
去   厶,"去   厶     leave   キョ、コ、さ-る kyo, ko, sa-ru    Strokes: 5"
橋   木,"橋   木     bridge   キョウ、はし kyō, hashi    Strokes: 16"
業   木,"業   木     business   ギョウ、ゴウ、わざ gyō, gō, waza    Strokes: 13"
曲   曰,"曲   曰     musical composition   キョク、ま-がる、ま-げる kyoku, ma-garu, ma-geru    Strokes: 6"
局   尸,局   尸     office   キョク kyoku    Strokes: 7
銀   金,銀   金     silver   ギン gin    Strokes: 14
区   匸,区   匸     ward   ク ku    Strokes: 4
苦   艸,"苦   艸     suffer   ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る ku, kuru-shii, kuru-shimu, kuru-shimeru, niga-i, niga-ru    Strokes: 8"
具   八,具   八     tool   グ gu    Strokes: 8
君   口,"君   口     you   クン、きみ kun, kimi    Strokes: 7"
係   人,"係   人     person in charge   ケイ、かか-る、かかり kei, kaka-ru, kakari    Strokes: 9"
軽   車,"軽   車     light   ケイ、かる-い、かろ-やか kei, karu-i, karo-yaka    Strokes: 12"
血   血,"血   血     blood   ケツ、ち ketsu, chi    Strokes: 6"
決   水,"決   水     decide   ケツ、き-める、き-まる ketsu, ki-meru, ki-maru    Strokes: 7"
研   石,"研   石     sharpen   ケン、と-ぐ ken, to-gu    Strokes: 9"
県   糸,県   糸     prefecture   ケン ken    Strokes: 9
庫   广,"庫   广     warehouse   コ、（ク） ko, (ku)    Strokes: 10"
湖   水,"湖   水     lake   コ、みずうみ ko, mizūmi    Strokes: 12"
向   口,"向   口     over there   コウ、む-く、む-ける、む-かう、む-こう kō, mu-ku, mu-keru, mu-kau, mu-kō    Strokes: 6"
幸   干,"幸   干     happiness   コウ、さいわ-い、さち、しあわ-せ kō, saiwa-i, sachi, shiawa-se    Strokes: 8"
港   水,"港   水     harbor   コウ、みなと kō, minato    Strokes: 12"
号   虍,号   虍     number   ゴウ gō    Strokes: 5
根   木,"根   木     root   コン、ね kon, ne    Strokes: 10"
祭   示,"祭   示     festival   サイ、まつ-る、まつ-り sai, matsu-ru, matsu-ri    Strokes: 11"
皿   皿,皿   皿     dish   さら sara    Strokes: 5
仕   人,"仕   人     do   シ、（ジ）、つか-える shi, (ji), tsuka-eru    Strokes: 5"
死   歹,"死   歹     death   シ、し-ぬ shi, shi-nu    Strokes: 6"
使   人,"使   人     use   シ、つか-う shi, tsuka-u    Strokes: 8"
始   女,"始   女     begin   シ、はじ-める、はじ-まる shi, haji-meru, haji-maru    Strokes: 8"
指   手,"指   手     finger   シ、ゆび、さ-す shi, yubi, sa-su    Strokes: 9"
歯   齒,"歯   齒     tooth   シ、は shi, ha    Strokes: 12"
詩   言,詩   言     poem   シ shi    Strokes: 13
